id,gid,x,y,dir_x,dir_y,radius,time
0,0,5.58,-2.46,-1.22,0,0.1,0
0,0,5.5312,-2.46,-1.22,0,0.1,0.04
0,0,5.4824,-2.46,-1.22,0,0.1,0.08
0,0,5.4336,-2.46,-1.22,0,0.1,0.12
0,0,5.3848,-2.46,-1.22,0,0.1,0.16
0,0,5.336,-2.46,-1.22,0,0.1,0.2
0,0,5.2872,-2.46,-1.22,0,0.1,0.24
0,0,5.2384,-2.46,-1.22,0,0.1,0.28
0,0,5.1896,-2.46,-1.22,0,0.1,0.32
0,0,5.1408,-2.46,-1.22,0,0.1,0.36
0,0,5.092,-2.46,-1.22,0,0.1,0.4
0,0,5.0432,-2.46,-1.22,0,0.1,0.44
0,0,4.9944,-2.46,-1.22,0,0.1,0.48
0,0,4.9456,-2.46,-1.22,0,0.1,0.52
0,0,4.8968,-2.46,-1.22,0,0.1,0.56
0,0,4.848,-2.46,-1.22,0,0.1,0.6
0,0,4.7992,-2.46,-1.22,0,0.1,0.64
0,0,4.7504,-2.46,-1.22,0,0.1,0.68
0,0,4.7016,-2.46,-1.22,0,0.1,0.72
0,0,4.6528,-2.46,-1.22,0,0.1,0.76
0,0,4.604,-2.46,-1.22,0,0.1,0.8
0,0,4.5552,-2.46,-1.22,0,0.1,0.84
0,0,4.5064,-2.46,-1.22,0,0.1,0.88
0,0,4.4575,-2.4601,-1.2225,-0.00249743,0.1,0.92
0,0,4.4086,-2.4602,-1.2225,-0.0025034,0.1,0.96
0,0,4.3604,-2.4594,-1.20499,0.0200033,0.1,1
0,0,4.3132,-2.4569,-1.18001,0.0625014,0.1,1.04
0,0,4.2666,-2.4534,-1.165,0.0874996,0.1,1.08
0,0,4.22,-2.45,-1.16501,0.0849962,0.1,1.12
0,0,4.1733,-2.4466,-1.1675,0.0850022,0.1,1.16
0,0,4.1267,-2.4433,-1.165,0.0824988,0.1,1.2
0,0,4.08,-2.44,-1.1675,0.0824988,0.1,1.24
0,0,4.0333,-2.4367,-1.1675,0.0824988,0.1,1.28
0,0,3.9867,-2.4333,-1.165,0.0850022,0.1,1.32
0,0,3.94,-2.43,-1.1675,0.0824988,0.1,1.36
0,0,3.8933,-2.4267,-1.1675,0.0824988,0.1,1.4
0,0,3.8467,-2.4233,-1.165,0.0850022,0.1,1.44
0,0,3.8,-2.42,-1.1675,0.0824988,0.1,1.48
0,0,3.7533,-2.4167,-1.1675,0.0825047,0.1,1.52
0,0,3.7067,-2.4133,-1.165,0.0849962,0.1,1.56
0,0,3.66,-2.41,-1.1675,0.0824988,0.1,1.6
0,0,3.6133,-2.4067,-1.1675,0.0825047,0.1,1.64
0,0,3.5667,-2.4033,-1.165,0.0849962,0.1,1.68
0,0,3.52,-2.4,-1.1675,0.0824988,0.1,1.72
0,0,3.4733,-2.3967,-1.1675,0.0825047,0.1,1.76
0,0,3.4267,-2.3933,-1.165,0.0849962,0.1,1.8
0,0,3.38,-2.39,-1.1675,0.0824988,0.1,1.84
0,0,3.3333,-2.3867,-1.1675,0.0825047,0.1,1.88
0,0,3.2867,-2.3833,-1.165,0.0849962,0.1,1.92
0,0,3.24,-2.38,-1.1675,0.0824988,0.1,1.96
0,0,3.1933,-2.3766,-1.1675,0.0850022,0.1,2
0,0,3.1467,-2.3734,-1.165,0.0800014,0.1,2.04
0,0,3.1001,-2.3702,-1.165,0.0800014,0.1,2.08
0,0,3.0532,-2.3662,-1.1725,0.0999987,0.1,2.12
0,0,3.0064,-2.3623,-1.17,0.0975013,0.1,2.16
0,0,2.9607,-2.3625,-1.1425,-0.00500083,0.1,2.2
0,0,2.9171,-2.3699,-1.09,-0.185001,0.1,2.24
0,0,2.8747,-2.3815,-1.06,-0.29,0.1,2.28
0,0,2.8323,-2.3931,-1.06,-0.29,0.1,2.32
0,0,2.7897,-2.4039,-1.065,-0.269997,0.1,2.36
0,0,2.7471,-2.4148,-1.065,-0.272501,0.1,2.4
0,0,2.7045,-2.4258,-1.065,-0.275004,0.1,2.44
0,0,2.6619,-2.4368,-1.065,-0.274998,0.1,2.48
0,0,2.6194,-2.4477,-1.0625,-0.272501,0.1,2.52
0,0,2.5768,-2.4587,-1.065,-0.274998,0.1,2.56
0,0,2.5342,-2.4697,-1.065,-0.275004,0.1,2.6
0,0,2.4916,-2.4806,-1.065,-0.272501,0.1,2.64
0,0,2.449,-2.4916,-1.065,-0.274998,0.1,2.68
0,0,2.4064,-2.5026,-1.065,-0.274998,0.1,2.72
0,0,2.3639,-2.5136,-1.0625,-0.275004,0.1,2.76
0,0,2.3213,-2.5245,-1.065,-0.272495,0.1,2.8
0,0,2.2787,-2.5355,-1.065,-0.275004,0.1,2.84
0,0,2.2361,-2.5464,-1.065,-0.272501,0.1,2.88
0,0,2.1936,-2.5574,-1.0625,-0.274998,0.1,2.92
0,0,2.151,-2.5684,-1.065,-0.274998,0.1,2.96
0,0,2.1084,-2.5794,-1.065,-0.275004,0.1,3
0,0,2.0658,-2.5903,-1.065,-0.272501,0.1,3.04
0,0,2.0232,-2.6013,-1.065,-0.274998,0.1,3.08
0,0,1.9806,-2.6123,-1.065,-0.274998,0.1,3.12
