point cloud with 16905 points in dimension 3
value range: [0.180278,222.684]
sparse distance matrix with 16905 points and 8856/142889512 entries
persistence intervals in dim 0:
 [0,0.180278)
 [0,0.187243)
 [0,0.206306)
 [0,0.215824)
 [0,0.221714)
 [0,0.221813)
 [0,0.230983)
 [0,0.231138)
 [0,0.231486)
 [0,0.234327)
 [0,0.235053)
 [0,0.2364)
 [0,0.238657)
 [0,0.238757)
 [0,0.239927)
 [0,0.240077)
 [0,0.243017)
 [0,0.243822)
 [0,0.244859)
 [0,0.245416)
 [0,0.246862)
 [0,0.247388)
 [0,0.248727)
 [0,0.249018)
 [0,0.249104)
 [0,0.250801)
 [0,0.251623)
 [0,0.251645)
 [0,0.251803)
 [0,0.252004)
 [0,0.25201)
 [0,0.252105)
 [0,0.25224)
 [0,0.252406)
 [0,0.25438)
 [0,0.254386)
 [0,0.254568)
 [0,0.2547)
 [0,0.254809)
 [0,0.255155)
 [0,0.255666)
 [0,0.255979)
 [0,0.257303)
 [0,0.259586)
 [0,0.262269)
 [0,0.262739)
 [0,0.263059)
 [0,0.263218)
 [0,0.26407)
 [0,0.264968)
 [0,0.265198)
 [0,0.265445)
 [0,0.266318)
 [0,0.266327)
 [0,0.266558)
 [0,0.266693)
 [0,0.266721)
 [0,0.267421)
 [0,0.267927)
 [0,0.268755)
 [0,0.269046)
 [0,0.269258)
 [0,0.269329)
 [0,0.269779)
 [0,0.270141)
 [0,0.271116)
 [0,0.271827)
 [0,0.272391)
 [0,0.273029)
 [0,0.273724)
 [0,0.273905)
 [0,0.274332)
 [0,0.275282)
 [0,0.275363)
 [0,0.275485)
 [0,0.275545)
 [0,0.275632)
 [0,0.276007)
 [0,0.276101)
 [0,0.276236)
 [0,0.276537)
 [0,0.277108)
 [0,0.278862)
 [0,0.278916)
 [0,0.279331)
 [0,0.280332)
 [0,0.280528)
 [0,0.280578)
 [0,0.280863)
 [0,0.280865)
 [0,0.281443)
 [0,0.282082)
 [0,0.282407)
 [0,0.282447)
 [0,0.282455)
 [0,0.282561)
 [0,0.282604)
 [0,0.282677)
 [0,0.282682)
 [0,0.28273)
 [0,0.282878)
 [0,0.282986)
 [0,0.283297)
 [0,0.2836)
 [0,0.284412)
 [0,0.284529)
 [0,0.284788)
 [0,0.28486)
 [0,0.28493)
 [0,0.285119)
 [0,0.285414)
 [0,0.285701)
 [0,0.285955)
 [0,0.286248)
 [0,0.286435)
 [0,0.286566)
 [0,0.287044)
 [0,0.287434)
 [0,0.28768)
 [0,0.287793)
 [0,0.287842)
 [0,0.287842)
 [0,0.288002)
 [0,0.288016)
 [0,0.288531)
 [0,0.289126)
 [0,0.289154)
 [0,0.289282)
 [0,0.289664)
 [0,0.289836)
 [0,0.290057)
 [0,0.290258)
 [0,0.290558)
 [0,0.290622)
 [0,0.290745)
 [0,0.291488)
 [0,0.291781)
 [0,0.29188)
 [0,0.292061)
 [0,0.292063)
 [0,0.293002)
 [0,0.293109)
 [0,0.293436)
 [0,0.2936)
 [0,0.293615)
 [0,0.293847)
 [0,0.294002)
 [0,0.294245)
 [0,0.294308)
 [0,0.295042)
 [0,0.295178)
 [0,0.295205)
 [0,0.29599)
 [0,0.296387)
 [0,0.296892)
 [0,0.297242)
 [0,0.297814)
 [0,0.298136)
 [0,0.298317)
 [0,0.298317)
 [0,0.29853)
 [0,0.29861)
 [0,0.299668)
 [0,0.300122)
 [0,0.300123)
 [0,0.300268)
