point cloud with 22174 points in dimension 3
value range: [0.00316222,131.666]
sparse distance matrix with 22174 points and 15877/245843137 entries
persistence intervals in dim 0:
 [0,0.00316222)
 [0,0.010198)
 [0,0.0133417)
 [0,0.0143178)
 [0,0.0151327)
 [0,0.0278926)
 [0,0.088295)
 [0,0.126657)
 [0,0.140943)
 [0,0.19252)
 [0,0.199123)
 [0,0.203037)
 [0,0.206737)
 [0,0.216095)
 [0,0.218002)
 [0,0.218048)
 [0,0.218215)
 [0,0.219317)
 [0,0.220048)
 [0,0.220204)
 [0,0.221269)
 [0,0.223607)
 [0,0.223651)
 [0,0.225683)
 [0,0.226883)
 [0,0.226883)
 [0,0.227607)
 [0,0.22857)
 [0,0.230185)
 [0,0.230413)
 [0,0.231366)
 [0,0.232422)
 [0,0.234472)
 [0,0.234828)
 [0,0.236812)
 [0,0.238254)
 [0,0.23927)
 [0,0.241108)
 [0,0.242662)
 [0,0.243082)
 [0,0.243181)
 [0,0.243288)
 [0,0.243479)
 [0,0.243961)
 [0,0.244168)
 [0,0.247196)
 [0,0.247342)
 [0,0.247406)
 [0,0.247952)
 [0,0.248709)
 [0,0.248805)
 [0,0.249098)
 [0,0.249239)
 [0,0.249329)
 [0,0.251468)
 [0,0.252438)
 [0,0.252834)
 [0,0.252834)
 [0,0.254159)
 [0,0.254189)
 [0,0.254466)
 [0,0.254562)
 [0,0.254849)
 [0,0.255361)
 [0,0.255486)
 [0,0.256416)
 [0,0.256751)
 [0,0.257769)
 [0,0.2596)
 [0,0.260048)
 [0,0.26025)
 [0,0.260346)
 [0,0.260714)
 [0,0.260768)
 [0,0.261268)
 [0,0.261842)
 [0,0.261842)
 [0,0.261964)
 [0,0.262086)
 [0,0.262688)
 [0,0.26284)
 [0,0.263017)
 [0,0.263046)
 [0,0.263418)
 [0,0.263473)
 [0,0.263706)
 [0,0.263873)
 [0,0.264968)
 [0,0.265002)
 [0,0.265189)
 [0,0.265204)
 [0,0.265277)
 [0,0.265631)
 [0,0.265746)
 [0,0.265831)
 [0,0.266672)
 [0,0.26732)
 [0,0.26738)
 [0,0.267686)
 [0,0.268002)
 [0,0.268496)
 [0,0.26874)
 [0,0.268755)
 [0,0.268844)
 [0,0.269111)
 [0,0.269186)
 [0,0.269267)
 [0,0.269295)
 [0,0.269533)
 [0,0.2697)
 [0,0.270083)
 [0,0.270115)
 [0,0.27012)
 [0,0.270385)
 [0,0.270416)
 [0,0.270512)
 [0,0.270823)
 [0,0.27103)
 [0,0.27136)
 [0,0.271577)
 [0,0.271901)
 [0,0.272459)
 [0,0.272567)
 [0,0.273271)
 [0,0.273514)
 [0,0.273651)
 [0,0.273658)
 [0,0.27398)
 [0,0.274117)
 [0,0.274308)
 [0,0.274323)
 [0,0.274332)
 [0,0.274492)
 [0,0.275078)
 [0,0.275115)
 [0,0.275394)
 [0,0.275409)
 [0,0.275812)
 [0,0.276002)
 [0,0.276957)
 [0,0.277043)
 [0,0.277065)
 [0,0.277243)
 [0,0.277366)
 [0,0.277622)
 [0,0.277694)
 [0,0.277894)
 [0,0.27926)
 [0,0.279303)
 [0,0.279508)
 [0,0.279544)
 [0,0.279546)
 [0,0.279551)
 [0,0.279866)
 [0,0.280016)
 [0,0.280071)
 [0,0.280401)
 [0,0.280403)
 [0,0.281091)
 [0,0.281192)
 [0,0.281448)
 [0,0.281469)
 [0,0.281556)
 [0,0.281603)
 [0,0.281603)
 [0,0.281642)
 [0,0.282007)
 [0,0.282237)
 [0,0.282407)
 [0,0.282554)
 [0,0.283106)
 [0,0.283323)
 [0,0.283584)
 [0,0.283648)
 [0,0.284002)
 [0,0.284143)
 [0,0.284176)
 [0,0.284176)
 [0,0.284255)
 [0,0.284598)
 [0,0.284754)
 [0,0.285002)
 [0,0.285351)
 [0,0.285408)
 [0,0.285412)
 [0,0.285449)
 [0,0.285659)
 [0,0.285701)
 [0,0.285911)
 [0,0.286009)
 [0,0.28663)
 [0,0.286644)
 [0,0.286812)
 [0,0.287028)
 [0,0.287085)
 [0,0.287089)
 [0,0.2872)
 [0,0.287601)
 [0,0.28768)
 [0,0.287696)
 [0,0.287898)
 [0,0.28796)
 [0,0.288043)
 [0,0.288087)
 [0,0.288257)
 [0,0.288531)
 [0,0.288591)
 [0,0.288905)
 [0,0.289353)
 [0,0.289358)
 [0,0.289415)
 [0,0.289546)
 [0,0.289601)
 [0,0.290291)
 [0,0.290388)
 [0,0.290594)
 [0,0.290642)
 [0,0.290644)
 [0,0.290723)
 [0,0.290878)
 [0,0.290945)
 [0,0.291062)
 [0,0.291318)
 [0,0.291337)
 [0,0.291398)
 [0,0.291446)
 [0,0.291666)
 [0,0.29205)
 [0,0.292057)
 [0,0.292438)
 [0,0.292658)
 [0,0.292838)
 [0,0.293043)
 [0,0.293155)
 [0,0.293339)
 [0,0.293615)
 [0,0.293942)
 [0,0.294002)
 [0,0.294109)
 [0,0.294146)
 [0,0.294763)
 [0,0.295002)
 [0,0.295097)
 [0,0.295169)
 [0,0.295203)
 [0,0.295296)
 [0,0.295312)
 [0,0.295381)
 [0,0.295439)
 [0,0.295772)
 [0,0.296196)
 [0,0.296284)
 [0,0.296446)
 [0,0.296697)
 [0,0.296939)
 [0,0.296948)
 [0,0.297284)
 [0,0.297659)
 [0,0.297674)
 [0,0.297699)
 [0,0.297983)
 [0,0.298136)
 [0,0.298216)
 [0,0.298263)
 [0,0.298377)
 [0,0.298391)
 [0,0.298424)
 [0,0.298671)
 [0,0.298719)
 [0,0.298734)
 [0,0.298826)
 [0,0.298828)
 [0,0.298886)
 [0,0.298886)
 [0,0.298965)
 [0,0.29904)
 [0,0.299055)
 [0,0.299202)
 [0,0.299202)
 [0,0.299363)
 [0,0.299902)
 [0,0.300097)
 [0,0.300123)
 [0,0.300128)
 [0,0.300466)
 [0,0.300541)
 [0,0.30096)
 [0,0.301015)
 [0,0.301145)
 [0,0.301251)
 [0,0.301304)
 [0,0.301916)
 [0,0.301988)
 [0,0.302002)
 [0,0.302035)
 [0,0.302121)
 [0,0.302154)
 [0,0.302174)
 [0,0.30263)
 [0,0.302688)
 [0,0.302764)
 [0,0.302979)
 [0,0.303041)
 [0,0.303191)
 [0,0.303205)
 [0,0.303295)
 [0,0.303644)
 [0,0.303911)
 [0,0.304006)
 [0,0.30403)
 [0,0.304086)
 [0,0.304164)
 [0,0.304385)
 [0,0.304508)
 [0,0.30469)
 [0,0.304795)
 [0,0.305177)
 [0,0.305267)
 [0,0.305792)
 [0,0.305984)
 [0,0.306111)
 [0,0.306132)
 [0,0.306198)
 [0,0.306361)
 [0,0.306472)
 [0,0.306472)
 [0,0.30657)
 [0,0.306741)
 [0,0.306777)
 [0,0.306777)
 [0,0.306811)
 [0,0.307132)
 [0,0.307148)
 [0,0.307156)
 [0,0.307197)
 [0,0.307278)
 [0,0.307826)
 [0,0.308058)
 [0,0.308133)
 [0,0.308846)
 [0,0.308935)
 [0,0.30904)
 [0,0.309045)
 [0,0.309118)
 [0,0.309298)
 [0,0.309386)
 [0,0.309467)
 [0,0.309726)
 [0,0.309894)
 [0,0.309919)
 [0,0.31)
 [0,0.31004)
 [0,0.310177)
 [0,0.310221)
 [0,0.310247)
 [0,0.310272)
 [0,0.310387)
 [0,0.310538)
 [0,0.310696)
 [0,0.310923)
 [0,0.311006)
 [0,0.311014)
 [0,0.311077)
 [0,0.311437)
 [0,0.311489)
 [0,0.311585)
 [0,0.311905)
 [0,0.312079)
 [0,0.312194)
 [0,0.312195)
 [0,0.312218)
 [0,0.312386)
 [0,0.31257)
 [0,0.312592)
 [0,0.312706)
 [0,0.3128)
 [0,0.31304)
 [0,0.313057)
 [0,0.313102)
 [0,0.313177)
 [0,0.313464)
 [0,0.313637)
 [0,0.313729)
 [0,0.313844)
 [0,0.313912)
 [0,0.313963)
 [0,0.31397)
 [0,0.314002)
 [0,0.314006)
 [0,0.314035)
 [0,0.314302)
 [0,0.314403)
 [0,0.314407)
 [0,0.31453)
 [0,0.314532)
 [0,0.314535)
 [0,0.314554)
 [0,0.314568)
 [0,0.314727)
 [0,0.31504)
 [0,0.315087)
 [0,0.315129)
 [0,0.315179)
 [0,0.315286)
 [0,0.315349)
 [0,0.315357)
 [0,0.315392)
 [0,0.31552)
 [0,0.315573)
 [0,0.315636)
 [0,0.315674)
 [0,0.315696)
 [0,0.315927)
 [0,0.31593)
 [0,0.316071)
 [0,0.316078)
 [0,0.316185)
 [0,0.316267)
 [0,0.316425)
 [0,0.316425)
 [0,0.316495)
 [0,0.316571)
 [0,0.316735)
 [0,0.316987)
 [0,0.316992)
 [0,0.317)
 [0,0.317278)
 [0,0.317304)
 [0,0.31753)
 [0,0.317616)
 [0,0.317624)
 [0,0.317718)
 [0,0.317855)
 [0,0.317921)
 [0,0.317959)
 [0,0.317972)
 [0,0.318121)
 [0,0.318441)
 [0,0.318478)
 [0,0.318693)
 [0,0.318763)
 [0,0.318818)
 [0,0.318976)
 [0,0.3191)
 [0,0.319226)
 [0,0.31923)
 [0,0.31932)
 [0,0.319364)
 [0,0.319453)
 [0,0.319462)
 [0,0.319581)
 [0,0.31964)
 [0,0.319725)
 [0,0.319756)
 [0,0.319777)
 [0,0.319916)
 [0,0.31992)
 [0,0.319953)
 [0,0.32009)
 [0,0.32034)
 [0,0.320545)
 [0,0.320877)
 [0,0.321076)
 [0,0.321076)
 [0,0.321081)
 [0,0.321179)
 [0,0.321399)
 [0,0.321562)
 [0,0.321562)
 [0,0.321604)
 [0,0.322025)
 [0,0.322025)
 [0,0.322064)
 [0,0.322188)
 [0,0.322244)
 [0,0.322245)
 [0,0.322273)
 [0,0.322281)
 [0,0.322304)
 [0,0.322368)
 [0,0.322444)
 [0,0.322448)
 [0,0.32249)
 [0,0.322518)
 [0,0.322628)
 [0,0.322672)
 [0,0.322796)
 [0,0.32282)
 [0,0.323067)
 [0,0.32313)
 [0,0.323155)
 [0,0.323155)
 [0,0.323186)
 [0,0.323187)
 [0,0.323209)
 [0,0.323303)
 [0,0.323594)
 [0,0.323679)
 [0,0.324052)
 [0,0.324077)
 [0,0.324164)
 [0,0.324261)
 [0,0.324299)
 [0,0.324353)
 [0,0.324581)
 [0,0.324803)
 [0,0.325)
 [0,0.325006)
 [0,0.325135)
 [0,0.325162)
 [0,0.325185)
 [0,0.325301)
 [0,0.325383)
 [0,0.325498)
 [0,0.325509)
 [0,0.32551)
 [0,0.325779)
 [0,0.326057)
 [0,0.326221)
 [0,0.326221)
 [0,0.326264)
 [0,0.326553)
 [0,0.326622)
 [0,0.326804)
 [0,0.326841)
 [0,0.32692)
 [0,0.326974)
 [0,0.327038)
 [0,0.327054)
 [0,0.327116)
 [0,0.327116)
 [0,0.327231)
 [0,0.327246)
 [0,0.327519)
 [0,0.327576)
 [0,0.327941)
 [0,0.328024)
 [0,0.328075)
 [0,0.328161)
 [0,0.328299)
 [0,0.328567)
 [0,0.328673)
 [0,0.328933)
 [0,0.328976)
 [0,0.329078)
 [0,0.32914)
 [0,0.329196)
 [0,0.329201)
 [0,0.329273)
 [0,0.329317)
 [0,0.329334)
 [0,0.329419)
 [0,0.329462)
 [0,0.329512)
 [0,0.32956)
 [0,0.329569)
 [0,0.329674)
 [0,0.329685)
 [0,0.33)
 [0,0.330038)
 [0,0.330103)
 [0,0.330238)
 [0,0.330288)
 [0,0.330312)
 [0,0.330341)
 [0,0.330341)
 [0,0.330438)
 [0,0.330462)
 [0,0.330492)
 [0,0.330905)
 [0,0.330938)
 [0,0.330974)
 [0,0.331308)
 [0,0.331308)
 [0,0.331361)
 [0,0.331361)
 [0,0.331368)
 [0,0.331605)
 [0,0.331699)
 [0,0.331748)
 [0,0.33181)
 [0,0.331851)
 [0,0.331879)
 [0,0.331879)
 [0,0.331887)
 [0,0.331929)
 [0,0.332002)
 [0,0.332024)
 [0,0.332056)
 [0,0.332099)
 [0,0.332146)
 [0,0.332151)
 [0,0.332182)
 [0,0.332277)
 [0,0.332316)
 [0,0.332343)
 [0,0.332405)
 [0,0.332415)
 [0,0.332435)
 [0,0.332543)
 [0,0.332615)
 [0,0.332701)
 [0,0.332785)
 [0,0.332844)
 [0,0.332916)
 [0,0.333001)
 [0,0.333014)
 [0,0.333024)
 [0,0.333084)
 [0,0.333264)
 [0,0.333362)
 [0,0.333422)
 [0,0.33378)
 [0,0.333912)
 [0,0.333928)
 [0,0.334073)
 [0,0.334096)
 [0,0.334181)
 [0,0.334211)
 [0,0.33432)
 [0,0.334401)
 [0,0.33444)
 [0,0.334456)
 [0,0.334462)
 [0,0.33451)
 [0,0.334516)
 [0,0.334521)
 [0,0.33454)
 [0,0.334574)
 [0,0.334688)
 [0,0.334767)
 [0,0.334773)
 [0,0.334809)
 [0,0.334964)
 [0,0.33497)
 [0,0.335046)
 [0,0.335095)
 [0,0.335121)
 [0,0.335181)
 [0,0.335216)
 [0,0.33536)
 [0,0.335418)
 [0,0.33544)
 [0,0.335543)
 [0,0.335598)
 [0,0.335601)
 [0,0.335626)
 [0,0.335775)
 [0,0.335829)
 [0,0.335912)
 [0,0.335932)
 [0,0.335936)
 [0,0.335936)
 [0,0.336001)
 [0,0.336013)
 [0,0.336155)
 [0,0.336158)
 [0,0.336162)
 [0,0.336217)
 [0,0.336293)
 [0,0.3364)
 [0,0.3364)
 [0,0.336418)
 [0,0.336657)
 [0,0.336725)
 [0,0.336728)
 [0,0.336757)
 [0,0.336786)
 [0,0.336875)
 [0,0.336964)
 [0,0.336966)
 [0,0.337083)
 [0,0.337095)
 [0,0.337179)
 [0,0.337214)
 [0,0.337251)
 [0,0.337291)
 [0,0.337291)
 [0,0.337291)
 [0,0.337378)
 [0,0.33752)
 [0,0.337552)
