point cloud with 14330 points in dimension 3
value range: [0.156109,183.325]
sparse distance matrix with 14330 points and 7979/102674449 entries
persistence intervals in dim 0:
 [0,0.156109)
 [0,0.157686)
 [0,0.164976)
 [0,0.169838)
 [0,0.18206)
 [0,0.186132)
 [0,0.194126)
 [0,0.195018)
 [0,0.197436)
 [0,0.197909)
 [0,0.203593)
 [0,0.21095)
 [0,0.214516)
 [0,0.220783)
 [0,0.221921)
 [0,0.222751)
 [0,0.223788)
 [0,0.226108)
 [0,0.228429)
 [0,0.230586)
 [0,0.231821)
 [0,0.23324)
 [0,0.234293)
 [0,0.234974)
 [0,0.236239)
 [0,0.237192)
 [0,0.237539)
 [0,0.241251)
 [0,0.243647)
 [0,0.244935)
 [0,0.246617)
 [0,0.247081)
 [0,0.247146)
 [0,0.247342)
 [0,0.248069)
 [0,0.248244)
 [0,0.2502)
 [0,0.250944)
 [0,0.251032)
 [0,0.251149)
 [0,0.251873)
 [0,0.25281)
 [0,0.253243)
 [0,0.253797)
 [0,0.254332)
 [0,0.254751)
 [0,0.255039)
 [0,0.255476)
 [0,0.255924)
 [0,0.256019)
 [0,0.25607)
 [0,0.256535)
 [0,0.25678)
 [0,0.258382)
 [0,0.260102)
 [0,0.260404)
 [0,0.261199)
 [0,0.261473)
 [0,0.262154)
 [0,0.262246)
 [0,0.262819)
 [0,0.263008)
 [0,0.263139)
 [0,0.263274)
 [0,0.263454)
 [0,0.264802)
 [0,0.264864)
 [0,0.26612)
 [0,0.266661)
 [0,0.2678)
 [0,0.267905)
 [0,0.268209)
 [0,0.268412)
 [0,0.269236)
 [0,0.269431)
 [0,0.269596)
 [0,0.270298)
 [0,0.270387)
 [0,0.270513)
 [0,0.270633)
 [0,0.27109)
 [0,0.271347)
 [0,0.271671)
 [0,0.27193)
 [0,0.272083)
 [0,0.272156)
 [0,0.272265)
 [0,0.27247)
 [0,0.273766)
 [0,0.274022)
 [0,0.274053)
 [0,0.275409)
 [0,0.275525)
 [0,0.2772)
 [0,0.277627)
 [0,0.27804)
 [0,0.278173)
 [0,0.278485)
 [0,0.279145)
 [0,0.281087)
 [0,0.28146)
 [0,0.28146)
 [0,0.282347)
 [0,0.282519)
 [0,0.282793)
 [0,0.283099)
 [0,0.283302)
 [0,0.283621)
 [0,0.284861)
 [0,0.285464)
 [0,0.285776)
 [0,0.286248)
 [0,0.2867)
 [0,0.2883)
 [0,0.288778)
 [0,0.288958)
 [0,0.289007)
 [0,0.289353)
 [0,0.289394)
 [0,0.289608)
 [0,0.289872)
 [0,0.290331)
 [0,0.290429)
 [0,0.291359)
 [0,0.291584)
 [0,0.292098)
 [0,0.292159)
 [0,0.292769)
 [0,0.293084)
 [0,0.293232)
 [0,0.293471)
 [0,0.293518)
 [0,0.294105)
 [0,0.294111)
 [0,0.294544)
 [0,0.294625)
 [0,0.294679)
 [0,0.295203)
 [0,0.296468)
 [0,0.296517)
 [0,0.296771)
 [0,0.296939)
 [0,0.297082)
 [0,0.297136)
 [0,0.297274)
 [0,0.297321)
 [0,0.297397)
 [0,0.297516)
 [0,0.297834)
 [0,0.298022)
 [0,0.298104)
 [0,0.298965)
 [0,0.298992)
 [0,0.299242)
 [0,0.299252)
 [0,0.299633)
 [0,0.300107)
 [0,0.300108)
 [0,0.300563)
 [0,0.300741)
 [0,0.30082)
 [0,0.30104)
 [0,0.301955)
 [0,0.302134)
 [0,0.302869)
 [0,0.303026)
 [0,0.303211)
 [0,0.303275)
 [0,0.303371)
 [0,0.303389)
 [0,0.303424)
 [0,0.303714)
 [0,0.303765)
 [0,0.303771)
 [0,0.303916)
 [0,0.30399)
 [0,0.304245)
 [0,0.304429)
 [0,0.304532)
 [0,0.304685)
 [0,0.305164)
 [0,0.305483)
 [0,0.305655)
 [0,0.306041)
 [0,0.306139)
 [0,0.306163)
 [0,0.306323)
 [0,0.306349)
 [0,0.306452)
 [0,0.306791)
 [0,0.3076)
 [0,0.307612)
 [0,0.307669)
 [0,0.308015)
 [0,0.308224)
 [0,0.308289)
 [0,0.308315)
 [0,0.308359)
 [0,0.308423)
 [0,0.308424)
 [0,0.308501)
 [0,0.308506)
 [0,0.309096)
 [0,0.309246)
 [0,0.309524)
 [0,0.309593)
 [0,0.309673)
 [0,0.309865)
 [0,0.310852)
 [0,0.31109)
 [0,0.311096)
 [0,0.311873)
 [0,0.31197)
 [0,0.312079)
 [0,0.31258)
 [0,0.313058)
 [0,0.313081)
 [0,0.313441)
 [0,0.313465)
 [0,0.313968)
 [0,0.314014)
 [0,0.31425)
 [0,0.314535)
 [0,0.315127)
 [0,0.315753)
 [0,0.315831)
 [0,0.315854)
 [0,0.315919)
 [0,0.315957)
 [0,0.316014)
 [0,0.316014)
 [0,0.316028)
 [0,0.316057)
 [0,0.316183)
 [0,0.316228)
 [0,0.316244)
 [0,0.316509)
 [0,0.316627)
 [0,0.316627)
 [0,0.316635)
 [0,0.316741)
 [0,0.316986)
 [0,0.317025)
 [0,0.317238)
 [0,0.317309)
 [0,0.31753)
 [0,0.317616)
 [0,0.317805)
 [0,0.317926)
 [0,0.318308)
 [0,0.318311)
 [0,0.318573)
 [0,0.318693)
 [0,0.318818)
 [0,0.318851)
 [0,0.318851)
 [0,0.318944)
 [0,0.319082)
 [0,0.319164)
 [0,0.319331)
 [0,0.319363)
 [0,0.319908)
 [0,0.320214)
 [0,0.320489)
 [0,0.320732)
 [0,0.321305)
 [0,0.321442)
 [0,0.321727)
 [0,0.322224)
 [0,0.322374)
 [0,0.322493)
 [0,0.322796)
 [0,0.322833)
 [0,0.32287)
 [0,0.323215)
 [0,0.323234)
 [0,0.323274)
 [0,0.323336)
 [0,0.323396)
 [0,0.323446)
 [0,0.323501)
 [0,0.323867)
 [0,0.323932)
 [0,0.323938)
 [0,0.324001)
 [0,0.324211)
 [0,0.324238)
 [0,0.324353)
 [0,0.3245)
 [0,0.324513)
 [0,0.32468)
 [0,0.324785)
 [0,0.325412)
 [0,0.325678)
 [0,0.326167)
 [0,0.326198)
 [0,0.326198)
 [0,0.326204)
 [0,0.326533)
 [0,0.326535)
 [0,0.326588)
 [0,0.326686)
 [0,0.326847)
 [0,0.327055)
 [0,0.327075)
 [0,0.327086)
 [0,0.327245)
 [0,0.3273)
 [0,0.327391)
 [0,0.327478)
 [0,0.327483)
 [0,0.327542)
 [0,0.327666)
 [0,0.327713)
 [0,0.328101)
 [0,0.32821)
 [0,0.328332)
 [0,0.328442)
 [0,0.328459)
 [0,0.328726)
 [0,0.328732)
 [0,0.328901)
 [0,0.329257)
 [0,0.329342)
 [0,0.33008)
 [0,0.330151)
 [0,0.330276)
 [0,0.330365)
 [0,0.330385)
 [0,0.330491)
 [0,0.33051)
 [0,0.331054)
 [0,0.331073)
 [0,0.331304)
 [0,0.331887)
 [0,0.331958)
 [0,0.332001)
 [0,0.332002)
 [0,0.332024)
 [0,0.332025)
 [0,0.332182)
 [0,0.332521)
 [0,0.332742)
 [0,0.333096)
 [0,0.333362)
 [0,0.333408)
 [0,0.33357)
 [0,0.333654)
 [0,0.333672)
 [0,0.333863)
 [0,0.334006)
 [0,0.334181)
 [0,0.334401)
 [0,0.334432)
 [0,0.33444)
 [0,0.334691)
 [0,0.334762)
 [0,0.334773)
 [0,0.334861)
 [0,0.33491)
 [0,0.334951)
 [0,0.334964)
 [0,0.335006)
 [0,0.33509)
 [0,0.335179)
 [0,0.335181)
 [0,0.335359)
 [0,0.335491)
 [0,0.335515)
 [0,0.335538)
 [0,0.335704)
 [0,0.335872)
 [0,0.335934)
 [0,0.336027)
 [0,0.336214)
 [0,0.336217)
 [0,0.336265)
 [0,0.336363)
 [0,0.336381)
 [0,0.3364)
 [0,0.336657)
 [0,0.33701)
 [0,0.337231)
 [0,0.337263)
 [0,0.33738)
 [0,0.337557)
 [0,0.337806)
 [0,0.337818)
 [0,0.337871)
 [0,0.337978)
 [0,0.338013)
 [0,0.338024)
 [0,0.338095)
 [0,0.338195)
 [0,0.338245)
 [0,0.338423)
 [0,0.338534)
 [0,0.338753)
 [0,0.338788)
 [0,0.338835)
 [0,0.339094)
 [0,0.339559)
 [0,0.339572)
 [0,0.339629)
 [0,0.339673)
 [0,0.3397)
 [0,0.339912)
 [0,0.339949)
 [0,0.339978)
 [0,0.340024)
 [0,0.340753)
 [0,0.340825)
 [0,0.340931)
 [0,0.340975)
 [0,0.341)
 [0,0.341053)
 [0,0.341094)
 [0,0.341094)
 [0,0.341119)
 [0,0.341235)
 [0,0.341317)
 [0,0.341321)
 [0,0.341369)
 [0,0.341475)
 [0,0.341539)
 [0,0.341563)
 [0,0.341568)
 [0,0.341586)
 [0,0.341849)
 [0,0.341867)
 [0,0.34199)
 [0,0.34199)
 [0,0.342053)
 [0,0.342053)
 [0,0.342099)
 [0,0.342126)
 [0,0.342177)
 [0,0.342345)
 [0,0.342586)
 [0,0.342615)
 [0,0.342616)
 [0,0.34271)
 [0,0.342761)
 [0,0.343036)
 [0,0.343146)
 [0,0.343185)
 [0,0.343472)
 [0,0.343534)
 [0,0.343634)
 [0,0.3437)
 [0,0.343804)
 [0,0.344006)
 [0,0.344023)
 [0,0.344141)
 [0,0.344209)
 [0,0.344363)
 [0,0.344524)
 [0,0.344606)
 [0,0.344646)
 [0,0.344803)
 [0,0.344803)
 [0,0.344803)
 [0,0.344814)
 [0,0.34499)
 [0,0.345036)
 [0,0.345064)
 [0,0.345338)
 [0,0.345392)
 [0,0.345411)
 [0,0.345442)
 [0,0.345615)
 [0,0.345627)
 [0,0.345793)
 [0,0.345951)
 [0,0.346006)
 [0,0.346036)
 [0,0.346071)
 [0,0.346144)
 [0,0.346244)
 [0,0.346555)
 [0,0.346667)
 [0,0.346671)
 [0,0.346699)
 [0,0.346832)
 [0,0.346954)
 [0,0.347023)
 [0,0.347071)
 [0,0.347081)
 [0,0.34722)
 [0,0.347243)
 [0,0.347248)
 [0,0.347477)
 [0,0.34752)
 [0,0.347541)
 [0,0.347651)
 [0,0.347748)
 [0,0.348059)
 [0,0.348111)
 [0,0.348179)
 [0,0.348184)
 [0,0.34821)
 [0,0.34869)
 [0,0.348738)
 [0,0.348811)
 [0,0.348834)
 [0,0.34892)
 [0,0.349036)
 [0,0.349185)
 [0,0.349285)
 [0,0.349451)
 [0,0.349482)
 [0,0.349594)
 [0,0.349819)
 [0,0.349864)
 [0,0.349903)
 [0,0.349961)
 [0,0.349984)
 [0,0.350009)
 [0,0.350064)
 [0,0.350076)
